trial_id,kind,val_pr_auc,best_iteration,train_seconds,feature_count,xgb_n_estimators,xgb_learning_rate,xgb_max_depth,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,gnn_hidden_dim,gnn_emb_dim,gnn_epochs,gnn_lr,gnn_weight_decay,gnn_dropout,gnn_edge_mode,gnn_node_feature_mode,gnn_wallet_label_mode
1,BASE,0.8284888357256778,25,0.19969509996008128,15,400,0.03,4,3,0.8,0.8,,,,,,,,,
2,BASE,0.8542191700012141,96,0.14004700002260506,15,400,0.03,4,3,0.8,1.0,,,,,,,,,
3,BASE,0.8961133069828722,25,0.07111349992919713,15,400,0.03,4,3,1.0,0.8,,,,,,,,,
4,BASE,0.8573159038300402,116,0.1282076999777928,15,400,0.03,4,3,1.0,1.0,,,,,,,,,
5,BASE,0.8274727424740398,27,0.06286710000131279,15,400,0.03,4,5,0.8,0.8,,,,,,,,,
6,BASE,0.7629935920209476,29,0.07487140002194792,15,400,0.03,4,5,0.8,1.0,,,,,,,,,
7,BASE,0.8787703207365718,25,0.060456200037151575,15,400,0.03,4,5,1.0,0.8,,,,,,,,,
8,BASE,0.8615965291608221,119,0.12692360009532422,15,400,0.03,4,5,1.0,1.0,,,,,,,,,
9,BASE,0.8896062036305161,30,0.08479430002626032,15,400,0.03,6,3,0.8,0.8,,,,,,,,,
10,BASE,0.8599145128080101,29,0.0786354000447318,15,400,0.03,6,3,0.8,1.0,,,,,,,,,
11,BASE,0.890242010016991,26,0.07918930007144809,15,400,0.03,6,3,1.0,0.8,,,,,,,,,
12,BASE,0.832507883875665,13,0.06200209993403405,15,400,0.03,6,3,1.0,1.0,,,,,,,,,
13,BASE,0.838603321005585,9,0.062198299914598465,15,400,0.03,6,5,0.8,0.8,,,,,,,,,
14,BASE,0.8294990723562152,9,0.0711567000253126,15,400,0.03,6,5,0.8,1.0,,,,,,,,,
15,BASE,0.8731902356902357,20,0.08353870001155883,15,400,0.03,6,5,1.0,0.8,,,,,,,,,
16,BASE,0.832507883875665,13,0.07827749999705702,15,400,0.03,6,5,1.0,1.0,,,,,,,,,
17,BASE,0.8068666818679793,25,0.07154320005793124,15,400,0.05,4,3,0.8,0.8,,,,,,,,,
18,BASE,0.8530543401768503,58,0.09663689997978508,15,400,0.05,4,3,0.8,1.0,,,,,,,,,
19,BASE,0.8860835056359635,25,0.0615698000183329,15,400,0.05,4,3,1.0,0.8,,,,,,,,,
20,BASE,0.8480811318679954,71,0.0955122000304982,15,400,0.05,4,3,1.0,1.0,,,,,,,,,
21,BASE,0.8184798605748806,71,0.09845980000682175,15,400,0.05,4,5,0.8,0.8,,,,,,,,,
22,BASE,0.8490392685555189,68,0.1020847000181675,15,400,0.05,4,5,0.8,1.0,,,,,,,,,
23,BASE,0.8587121212121213,23,0.06843390001449734,15,400,0.05,4,5,1.0,0.8,,,,,,,,,
24,BASE,0.8372635636513861,72,0.09460630000103265,15,400,0.05,4,5,1.0,1.0,,,,,,,,,
25,BASE,0.854491661840016,26,0.08473260002210736,15,400,0.05,6,3,0.8,0.8,,,,,,,,,
26,BASE,0.8641209571205338,71,0.15217769995797426,15,400,0.05,6,3,0.8,1.0,,,,,,,,,
27,BASE,0.8930215319366597,25,0.08932739996816963,15,400,0.05,6,3,1.0,0.8,,,,,,,,,
28,BASE,0.832507883875665,8,0.07070170005317777,15,400,0.05,6,3,1.0,1.0,,,,,,,,,
29,BASE,0.838603321005585,9,0.06442710000555962,15,400,0.05,6,5,0.8,0.8,,,,,,,,,
