tx_hash,from,to,amount,block_number,block_time
0x00455e638f9af4ab4085d3b6da38bc362880a62e2e8ea40d484de85e4602ea53,0x3bc8dffb0f08f484723cc3b8024da9687771ada8,0x5ca381bbfb58f0092df149bd3d243b08b9a8386e,0,18908895,2024-01-01 00:00:11.000 UTC
0x0094713779ba6650f0e1d41e7e5768e8366dd365f066e33027e01ba62764a34d,0xc03055e0159c07f739eac50009bd126dd90f3481,0x2957018abe642c82b2ad04f8926207cc6bb9f4d9,0,18908898,2024-01-01 00:00:47.000 UTC
0x00470d9b60f3373b4e24d91988f42e772bd53bc44cc85c5ac4621e433fb2bd68,0x0e1734965617ecc387572f43f9541394308ac0a7,0x72efccb708a056d79366e50ade626a9f1e600ed4,692905000000000,18908900,2024-01-01 00:01:11.000 UTC
0x00724e953019048257bb32d824fef3337cc1dbc17e25babb6d32b4cc59e0fc90,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0x214611a09f6e21f8cde84efcd5121cb826664631,791562500000000,18908901,2024-01-01 00:01:23.000 UTC
0x00113d9d3814e609da7b4b7bc73177592b9bf58c633d37b822ea63db5b421883,0xb739d0895772dbb71a89a3754a160269068f0d45,0x86c330638e354fdee8604699ad15bf63249e77f9,944988500000000,18908901,2024-01-01 00:01:23.000 UTC
0x00815697286e8cf6caf3674cebb10a74b9c7bbe48524d9e13ccca2f3d6b58ca0,0x469ae3d5bce2ac0a16d613a584de4fc30d08649d,0x9f9643209dcce8d7399d7bf932354768069ebc64,0,18908905,2024-01-01 00:02:11.000 UTC
0x007ece402c576d962fd422decb17ef52212268906f6424ea6e32cd09caec0aca,0x59d94b1799eb0a31d6cce4e1c2fcab6507204ba7,0xc36442b4a4522e871399cd717abdd847ab11fe88,0,18908916,2024-01-01 00:04:23.000 UTC
0x002742fc6016007e6325e61942b4debb5509ef37dc02a62d5cf2f6ac2e02fd02,0x8ca7b538f04b55d6273d556db7879a45d39ffc45,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0,18908916,2024-01-01 00:04:23.000 UTC
0x003aabb11822f3d64f1b8682a151bb9161eada36f45b04e00b40e9e9028c3224,0x71b933b7d81d472c02e8f63e9b8c3991fc9133c3,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0,18908917,2024-01-01 00:04:35.000 UTC
0x004b0f98c00f4b3c0df6496c3f65da775232401ddc10937d0569122d59e1d673,0x4cb8011d87c1f5892fae5091c1c2caaa737e10d7,0x0016c0d0343e8f2c3a7b6a51606b84b1545ec606,10454452000000000,18908922,2024-01-01 00:05:47.000 UTC
